id,position,customer,status,product_name,photo_url,is_deleted,previous_position,navodka_url
810,38A m.,Scherdel,null,Ventil malý US,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/810_Ventil_maly_modry_US_16x_00810.pdf"", ""title"": ""Modrá""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/810_Ventil_maly_zeleny_US_16x_00810.pdf"", ""title"": ""Zelená""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/810_Ventil_maly_cerny_US_16x_00810.pdf"", ""title"": ""Černá""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/810_Ventil_maly_cerveny_US_16x_00810.pdf"", ""title"": ""Červená""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/810_Ventil_maly_sedy_US_16x_00810.pdf"", ""title"": ""Šedá""}]"
811,44A b.,Witte,null,Screwholder,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/811_Screwholder_00811.pdf"", ""title"": ""Návodka""}]"
812,44B b.,Witte,null,Stellhebel,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/812_Stellhebel_00812.pdf"", ""title"": ""Návodka""}]"
813,38C c.,Scherdel,null,Ventil gross-bez skla II,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/813_Ventil_velky_fialovy_00813.pdf"", ""title"": ""Návodka""}]"
814,44A z.,Others,null,Oil Pan Gitter,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/814_Oil_Pan_Gitter_00814.pdf"", ""title"": ""Návodka""}]"
815,42C z.,Witte,null,Ford Cover,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/815_Ford_Cover_00815.pdf"", ""title"": ""Návodka""}]"
816,50C b.,Škoda,null,Krytka,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/816_00816_Krytka_00816.pdf"", ""title"": ""Návodka""}]"
817,50C b.,Škoda,null,Krytka,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/817_00817_Krytka_00817.pdf"", ""title"": ""Návodka""}]"
818,50C b.,Škoda,null,Krytka,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/818_00818_Krytka_00818.pdf"", ""title"": ""Návodka""}]"
819,47C z.,Škoda,null,Krytka,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/819_00819_Krytka_00819.pdf"", ""title"": ""Návodka""}]"
